"YMD","Product1","Product2","Time","Prod1Fitted","ForecastProd1"
20190106,3793922,14992368,1,3790124.08005452,2987767.22065001
20190113,2729373,16032383,2,2726635.62810325,3761102.11680346
20190120,2800487,16880547,3,2797674.51385458,2713939.39850428
20190127,2882470,14338808,4,2879571.53061264,3217866.57920715
20190203,3398656,15537038,5,3395237.34463932,2579516.01418745
20190210,4021779,17143305,6,4017733.22173216,3103021.76552208
20190217,2671152,16409129,7,2668452.84760391,3473568.28477804
20190224,2823657,15215034,8,2820801.34240559,2823797.19519339
20190303,2896317,16098856,9,2893384.68215788,2695554.99741456
20190310,3202899,17474534,10,3199656.10005489,2650062.30901483
20190317,3492037,16809733,11,3488500.9619411,3022855.0702151
20190324,4337187,15337600,12,4332801.8121713,3113886.04585708
20190331,2586896,16201079,13,2584257.10179579,2843943.92685616
20190407,2833753,17196841,14,2830863.24465585,3059867.82572629
20190414,3083415,18008004,15,3080271.58251764,3770274.64320496
20190421,3306260,17477327,16,3302889.73736284,2406104.39205453
20190428,4201750,16487195,17,4197480.24762419,2469964.97625844
20190505,2888953,17768254,18,2885992.04351934,2988207.84477246
20190512,3185251,18774867,19,3181989.74540998,2870887.02006273
20190519,3590936,18307455,20,3587265.0603683,3091696.13789851
20190526,4466409,17405273,21,4461858.58761726,2268304.99388823
20190602,3347699,18013594,22,3344263.29663249,2437360.54886296
20190609,4425379,19135409,23,4420861.61700655,2703644.5759085
20190616,3032406,18968314,24,3029277.58885209,3344854.58364753
20190623,3460708,17835865,25,3457147.28682441,2278444.25427279
20190630,3113752,18022695,26,3110534.24231709,2987767.22065001
20190707,3957498,20086552,27,3953432.49654643,3761102.11680346
20190714,3066521,17011560,28,3063342.47270254,2713939.39850428
20190721,3514951,17549118,29,3511320.0426873,3217866.57920715
20190728,4152660,17705475,30,4148387.33378917,2579516.01418745
20190804,2991833,18329513,31,2988717.15977834,3103021.76552208
20190811,3336027,19242627,32,3332562.96569861,3473568.28477804
20190818,3696348,18132881,33,3692519.64462887,2823797.19519339
20190825,4346590,16848640,34,4342107.40273849,2695554.99741456
20190901,2992015,18112022,35,2988882.97660779,2650062.30901483
20190908,3115816,18505188,36,3112556.17539172,3022855.0702151
20190915,3691413,18274031,37,3687573.57845516,3113886.04585708
20190922,4705555,16338909,38,4700697.43678991,2843943.92685616
20190929,2616269,17067499,39,2613496.72120467,3059867.82572629
20191006,2820865,17487218,40,2817884.12503858,3770274.64320496
20191013,3077626,18201476,41,3074384.36390476,2406104.39205453
20191020,3436538,17524264,42,3432933.45183415,2469964.97625844
20191027,3818714,15410157,43,3814723.27577792,2988207.84477246
20191103,2707118,16409283,44,2704234.87079755,2870887.02006273
20191110,2968260,17444109,45,2965111.72866644,3091696.13789851
20191117,3365089,16829188,46,3361539.89961928,2268304.99388823
20191124,3965657,15076863,47,3961503.33169817,2437360.54886296
20191201,2665488,15669328,48,2662630.49960113,2703644.5759085
20191208,2766199,17417752,49,2763236.78837077,3344854.58364753
20191215,3069689,16643861,50,3066419.29826587,2278444.25427279
20191222,4514228,15362849,51,4509509.75986689,2987767.22065001
20191229,2701797,14780697,52,2698887.18945293,3761102.11680346
20200105,3235822,15275010,53,3550543.32627497,2713939.39850428
20200112,2443291,16020044,54,2513471.02770285,3217866.57920715
20200119,2793118,16733394,55,2612737.48628418,2579516.01418745
20200126,3456677,14075171,56,2753464.79634003,3103021.76552208
20200202,2441509,15255272,57,3114970.19682115,3473568.28477804
20200209,2682939,16629915,58,3699538.53492491,2823797.19519339
20200216,3284905,16341083,59,2546141.3813004,2695554.99741456
20200223,3956118,14088289,60,2751040.43341098,2650062.30901483
20200301,2449279,15304403,61,2664156.95500818,3022855.0702151
20200308,2667831,17259060,62,2961847.00616932,3113886.04585708
20200315,3307388,16706472,63,3286380.31291508,2843943.92685616
20200322,4912213,17287081.9,64,4208263.87148969,3059867.82572629
20200329,2806801,16701022.9,65,2422103.25736316,3770274.64320496
20200405,2394567,15039991,66,2602386.09547372,2406104.39205453
20200412,2734487,16752973,67,2861164.845005,2469964.97625844
20200419,3127745,16950288,68,3101222.97406633,2988207.84477246
20200426,4216954,15503968,69,4016279.92178222,2870887.02006273
20200503,2729001,17029398,70,2685791.18140189,3091696.13789851
20200510,2937023,19299269.9,71,2973172.3888795,2268304.99388823
20200517,3435130,18630224,72,3388192.65332148,2437360.54886296
20200524,4360225,17718333,73,4268677.53140941,2703644.5759085
20200607,3434073,19494647,74,3169418.08995325,3344854.58364753
20200614,4557013,20021772,75,4251669.27869182,2278444.25427279
20200621,3146519,18634107,76,2856927.11020844,2987767.22065001
20200628,2956824,19255970,77,3222805.72828402,3761102.11680346
20200631,2786158,18310477,78,2893656.73616085,2713939.39850428
20200705,3513010,19983300,79,3725595.03138657,3217866.57920715
20200712,3945700,19240815,80,2968320.5576732,2579516.01418745
20200719,3000992,17242787,81,3276031.03292663,3103021.76552208
20200726,3004792,17389714,82,3849709.30579014,3473568.28477804
20200802,3151421,18442540,83,2820947.49510437,2823797.19519339
20200809,3370641,19342759,84,3152517.85726507,2695554.99741456
20200816,3708548,18966090,85,3510574.68438614,2650062.30901483
20200823,4265378,16996127,86,4151380.9551758,3022855.0702151
20200906,3012490,19114658,87,2807077.83794258,3113886.04585708
20200913,3485546,18458029,88,2966156.64274945,2843943.92685616
20200920,4347116,16712113,89,3570639.20494425,3059867.82572629
20200927,2621709,17277347,90,4308061.94836131,3770274.64320496
20200930,2785994,17826325,91,2446407.572717,2406104.39205453
20201004,2713397,17894595,92,2623004.52339666,2469964.97625844
20201011,2888457,18527501,93,2871512.88165889,2988207.84477246
20201018,3278654,17591662,94,3233584.78591995,2870887.02006273
20201025,3696063,15824591,95,3619319.46310007,3091696.13789851
20201101,2657314,16126803,96,2515082.14298804,2268304.99388823
20201108,2750868,17330137,97,2759296.14857415,2437360.54886296
20201115,3352359,18054229,98,3176797.65499843,2703644.5759085
20201122,3752993,16191811,99,3757170.27828777,3344854.58364753
20201206,3177381,16098623,100,2530188.54615058,2278444.25427279
20201213,4276798,16340193,101,2731777.68736792,2987767.22065001
20201220,4073636,16002686,102,2984091.19525179,3761102.11680346
20201227,3622182,15118626,103,4237117.40756227,2713939.39850428
20201229,2570162,15697413,104,2501495.47261343,3217866.57920715
20210103,2224000,15080389,105,3144914.98343032,2579516.01418745
20210110,2550300,16608080,106,2272270.47732041,3103021.76552208
20210117,2895067,16472131,107,2514664.55797775,3473568.28477804
20210124,3345376,14362455,108,2949586.82530853,2823797.19519339
20210207,2924417,16233942,109,2537164.33033788,2695554.99741456
20210214,3297203,15788470,110,2928460.96952393,2650062.30901483
20210221,3682137,14119228,111,2773782.03041148,3022855.0702151
20210228,2437818,15116481,112,3203092.44699669,3113886.04585708
20210231,2630551,14912630,113,2341871.14171144,2843943.92685616
20210304,2556687,16745308,114,2587882.79131705,3059867.82572629
20210307,2562194,16920626,115,3078549.12606453,3770274.64320496
20210314,3183068,16805865,116,4369192.13618069,2406104.39205453
20210321,4133962,14921512,117,2467804.91620946,2469964.97625844
20210328,2400540,15802603,118,2280276.63699802,2988207.84477246
20210402,2677255,15751096,119,2584050.36280755,2870887.02006273
20210411,2745721,18522898.4,120,2904538.97844464,3091696.13789851
20210418,3313511,17685042,121,3907675.70972082,2268304.99388823
20210425,3672884,16838722,122,2527835.54258964,2437360.54886296
20210509,3301844,17633905,123,2757101.72466933,2703644.5759085
20210516,3186381,16793883,124,3206113.47273579,3344854.58364753
20210523,3844348,15279398,125,4106220.28200689,2278444.25427279
20210530,2757751,17121414,126,3102389.8901201,2987767.22065001
20210604,2737120,17802055,127,4182727.3749579,3761102.11680346
20210606,2766468,17542163,128,2810676.81803688,2713939.39850428
20210613,3699956,17244183,129,2883673.92926896,3217866.57920715
20210620,4603289,15349891,130,2668768.48399134,2579516.01418745
20210627,2712216,15930745,131,3383000.92733617,3103021.76552208
20210701,2549276,16796651,132,3292886.37958146,3473568.28477804
20210711,2809777,17765472,133,2911152.79077765,2823797.19519339
20210718,3286754,16698284,134,3169462.79109112,2695554.99741456
20210725,3778437,16047657,135,2820237.63555803,2650062.30901483
20210808,3038753,17883195,136,3066470.97707282,3022855.0702151
20210815,3140543,16971010,137,3407810.81221086,3113886.04585708
20210822,3952859.5,16011966,138,4006234.26300616,2843943.92685616
20210829,2526525.5,16443867,139,2710372.59362741,3059867.82572629
20210903,2353334,16116244,140,3034717.65596624,3770274.64320496
20210905,2670257,17316925.3,141,3774180.68824376,2406104.39205453
20210912,3014895,16195213,142,3149236.80770455,2469964.97625844
20210919,4059214,15439642,143,2465132.80227083,2988207.84477246
20210926,2485506,15939366,144,2466226.68788889,2870887.02006273
20211010,2621255,16827546,145,2671881.12205172,3091696.13789851
20211017,2790169,15691199,146,3045160.11927911,2268304.99388823
20211024,3638756,15033132,147,3458494.09805302,2437360.54886296
20211031,2573236,15489036,148,2391105.43101326,2703644.5759085
20211107,3143020,15746982,149,2559674.66565102,3344854.58364753
20211114,2868485,14573748,150,3063073.48694365,2278444.25427279
20211121,3596069,14475004,151,3547891.60799846,2987767.22065001
20211128,2170550,14098208,152,2674571.42414188,3761102.11680346
20211202,2205205,13619346.2,153,3365986.08602967,2713939.39850428
20211205,2394173,15424739,154,3366548.27748798,3217866.57920715
20211212,2557073,14104408,155,3658691.34729187,2579516.01418745
20211219,3649982,13944093,156,2361085.28160597,3103021.76552208
20211226,2095483,14101535,157,2452913.85792257,3473568.28477804
20220109,3390121,13633760.4,158,2215869.14159021,2823797.19519339
20220116,2319907,14254657.4,159,2504855.08320465,2695554.99741456
20220123,2021711,12531338.5,160,2944032.62564161,2650062.30901483
20220130,2116941,13034144,161,2529766.79927975,3022855.0702151
20220206,2229278,13660065,162,2909991.52890381,3113886.04585708
20220213,2419137,13811180,163,3038144.12316504,2843943.92685616
20220220,3969091,13387679,164,2601467.60976481,3059867.82572629
20220227,2306216,13814822,165,2285102.49543629,3770274.64320496
20220303,2123589,14885498,166,2362304.59641483,2406104.39205453
20220306,2918831,14966012.4,167,2601830.69153748,2469964.97625844
20220313,2380599,13812497.2,168,3534237.52382063,2988207.84477246
20220320,3568119,13565127,169,3134339.16959229,2870887.02006273
20220327,2010407,14006472,170,2134584.96923789,3091696.13789851
20220401,2132262,14172432,171,2423331.9803802,2268304.99388823
20220410,2262905,15152021,172,2611577.67094416,2437360.54886296
20220417,2379453,13978301,173,3383411.96493287,2703644.5759085
20220424,3439577,13284126,174,2921976.21442602,3344854.58364753
20220508,2319559,15079720,175,2831646.03432615,2278444.25427279
